theta1,theta2,theta3,x,y,phi
0.8,-0.46,-0.47,26.31,9.21,-7.45
0.87,-1.81,1.42,21.22,4.19,27.5
1.85,-0.13,0.9,-12.91,24.48,150.11
0.64,-2.64,-0.56,-4.5,-8.61,-146.68
0.27,-1.33,-0.16,17.96,-15.45,-69.9
0.11,-1.78,0.15,9.46,-18.84,-87.09
1.67,-0.66,-0.69,13.82,21.56,18.33
0.92,-0.68,-0.43,25.59,8.44,-10.89
2.88,-2.72,-1.44,3.08,-5.4,-73.34
2.6,-2.93,1.55,4.33,11.31,69.9
1.94,-1.5,-0.42,15.44,13.79,1.15
2.69,-1.47,0.42,-6.25,23.73,93.97
0.58,-0.81,1.41,21.91,12.45,67.61
2.55,-0.4,0.09,-19.98,21.79,128.34
1.45,-0.18,0.18,5.37,29.41,83.08
1.66,-1.69,-1.39,10.61,-0.23,-81.36
1.6,-0.07,0.94,-7.71,26.21,141.52
1.01,-2.47,-1.44,-3.29,-3.86,-166.16
0.94,-2.26,-0.04,10.47,-11.39,-77.92
0.32,-2.65,0.25,-2.27,-12.84,-119.18
1.4,-0.58,-0.61,18.3,19.25,12.03
1.24,-0.42,0.47,12.84,26.38,73.91
2.21,-2.37,0.34,13.75,8.22,10.31
0.43,-2.92,0.21,-5.37,-9.48,-130.63
1.85,-1.71,0.87,12.46,19.48,57.87
2.76,-0.08,1.1,-26.26,2.22,216.58
2.28,-1.55,-0.1,9.02,20.15,36.1
1.53,-1.1,0.32,16.81,20.98,42.97
2.04,-0.87,1.23,-7.99,24.88,137.51
2.85,-0.92,-0.85,-8.38,21.06,61.88
0.68,-0.04,-1.22,24.16,6.78,-33.23
2.88,-2.44,0.68,3.74,15.85,64.17
2.66,-1.43,0.7,-9.04,23.42,110.58
0.54,-0.24,0.33,26.21,13.99,36.1
2.96,-2.3,-0.75,8.02,7.04,-5.16
0.23,-0.18,-0.27,29.48,0.6,-12.61
0.75,-1.6,0.39,22.88,-5.14,-26.36
1.53,-1.63,0.73,18.44,14.88,36.1
3.11,-3.13,-0.35,9.33,-3.5,-21.2
2.99,-0.7,1.48,-24.56,3.15,216.01
1.47,-0.11,0.93,-3.49,27.25,131.21
2.77,-0.62,0.16,-21.53,19.39,132.35
1.85,-2.72,-0.89,1.81,-7.85,-100.84
2.59,-1.41,-1.22,5.28,14.09,-2.29
1.28,-0.2,-1.01,17.56,19.1,4.01
2.94,-2.02,-0.17,3.58,16.77,42.97
0.18,-0.29,-0.13,29.49,-1.68,-13.75
1.53,-1.76,-0.52,17.46,0.9,-42.97
1.31,-2.46,0.69,15.62,-3.91,-26.36
2.04,-0.47,-1.31,5.15,21.49,14.9
2.3,-2.99,-0.19,7.42,-6.62,-50.42
2.9,-2.48,-0.68,9.09,3.9,-14.9
1.79,-1.07,-0.27,14.35,20.7,25.78
1.92,-0.09,-0.52,-3.41,28.72,75.06
0.72,-1.09,1.42,21.82,11.65,60.16
1.17,-1.47,0.01,23.04,3.39,-16.62
2.36,-2.3,-0.54,11.75,3.03,-27.5
2.79,-1.63,0.45,-5.79,22.6,92.25
0.0,-1.31,-0.84,7.1,-18.03,-123.19
1.81,-0.18,0.06,-4.15,29.63,96.83
3.11,-0.71,-1.4,-11.97,15.49,57.3
2.25,-0.92,-0.11,-0.46,26.88,69.9
2.19,-2.7,0.12,12.17,-0.54,-22.35
2.49,-1.41,-1.56,5.63,10.27,-27.5
0.02,-3.09,-1.09,-5.22,8.0,-238.35
0.59,-0.42,1.09,21.22,16.78,72.19
1.72,-3.08,-1.22,-7.86,-5.22,-147.82
0.97,-2.8,0.29,3.4,-11.41,-88.24
2.51,-1.37,0.06,-0.27,24.31,68.75
1.34,-1.91,-0.24,17.6,-2.9,-46.41
1.62,-3.07,1.01,9.76,-4.2,-25.21
2.6,-0.78,1.26,-21.02,15.46,176.47
0.9,-2.85,1.11,9.19,-8.9,-48.13
2.06,-2.29,-1.3,5.45,-3.44,-87.66
2.54,-0.2,-1.01,-12.82,22.56,76.2
2.55,-0.48,0.17,-19.29,22.2,128.34
2.85,-1.88,-0.68,5.66,13.98,16.62
2.87,-1.35,1.5,-19.05,13.88,173.03
1.97,-2.0,1.17,10.28,18.0,65.32
0.23,-0.53,-0.86,23.28,-9.84,-66.46
1.13,-2.11,-0.46,11.14,-9.18,-82.51
0.99,-1.48,-1.28,12.33,-6.15,-101.41
0.06,-2.78,-1.05,-7.23,2.39,-216.01
2.88,-3.07,0.55,9.52,4.22,20.63
0.52,-0.04,0.53,22.87,18.05,57.87
2.56,-1.56,-1.1,7.0,12.91,-5.73
0.73,-2.5,0.91,12.0,-10.71,-49.27
2.83,-0.23,0.36,-27.92,10.03,169.6
0.7,-2.89,1.3,8.14,-9.47,-50.99
2.16,-0.26,1.12,-18.72,18.99,173.03
2.07,-1.91,-0.15,15.08,10.47,0.57
0.28,-3.12,-0.16,-9.84,-1.62,-171.89
1.98,-0.39,0.8,-11.48,26.0,136.94
0.47,-1.72,-0.72,8.18,-14.17,-112.87
2.21,-0.02,-1.45,-4.38,22.91,42.4
1.0,-2.95,-0.28,-4.42,-8.78,-127.77
2.39,-1.67,-0.14,8.58,18.9,33.23
2.6,-0.14,0.91,-26.07,9.19,193.09
1.38,-2.62,1.45,14.92,2.45,12.03
2.02,-2.36,0.6,14.75,8.24,14.9
2.05,-0.7,0.89,-8.62,26.47,128.34
0.77,-3.11,1.26,4.94,-9.04,-61.88
0.73,-2.43,-1.3,-3.74,-4.66,-171.89
1.42,-0.96,-0.47,20.46,14.23,-0.57
0.8,-1.03,1.05,23.53,12.21,46.98
2.27,-0.64,-1.33,2.53,20.59,17.19
0.88,-1.19,1.17,22.42,12.24,49.27
1.66,-2.33,1.22,15.47,8.98,31.51
0.88,-1.67,1.54,20.73,7.42,42.97
2.52,-2.43,0.87,7.57,14.91,55.0
0.01,-0.23,-0.87,24.38,-10.95,-62.45
2.16,-1.43,-1.35,10.03,9.17,-35.52
0.54,-3.12,-0.83,-9.53,2.47,-195.38
2.33,-2.13,0.84,7.98,17.86,59.59
1.66,-1.98,0.62,18.15,9.77,17.19
3.1,-1.96,0.89,-10.25,18.47,116.31
1.45,-2.32,0.65,17.41,0.1,-12.61
0.3,-1.28,-1.37,8.1,-12.46,-134.65
1.59,-1.65,-1.44,10.5,-0.58,-85.94
0.32,-0.48,-0.81,25.02,-6.7,-55.58
0.54,-1.28,0.06,23.74,-7.89,-38.96
1.29,-3.1,1.47,9.83,-3.44,-19.48
3.09,-0.18,0.43,-29.52,0.84,191.37
1.45,-2.43,0.88,16.73,0.62,-5.73
0.41,-1.17,-1.45,10.45,-10.93,-126.62
2.02,-2.13,-0.28,14.85,4.11,-22.35
0.72,-0.83,-0.91,22.69,-3.03,-58.44
1.27,-0.15,-0.38,14.7,25.29,42.4
1.15,-0.69,-1.22,20.29,6.68,-43.54
0.69,-0.26,-1.35,22.86,2.58,-52.71
2.54,-2.2,-0.01,10.64,12.23,18.91
2.42,-2.67,0.63,11.47,7.84,21.77
2.86,-1.06,-0.39,-10.28,22.39,80.79
0.16,-0.8,1.35,25.48,2.14,40.68
0.4,-1.32,0.41,24.0,-8.94,-29.22
2.23,-0.01,0.38,-20.74,21.03,148.97
2.25,-1.55,-0.19,10.09,19.1,29.22
1.18,-0.47,-0.33,20.68,19.47,21.77
1.12,-0.48,-0.06,20.74,20.45,33.23
0.86,-1.92,-0.18,14.66,-10.6,-71.05
1.45,-0.09,1.51,-6.34,22.39,164.44
1.33,-2.51,-0.65,3.63,-9.2,-104.85
1.71,-2.95,-0.03,4.82,-9.11,-72.77
1.57,-1.29,-1.33,14.59,4.09,-60.16
2.63,-1.2,-1.49,2.67,14.2,-3.44
1.88,-2.77,-0.1,8.74,-6.61,-56.72
1.65,-1.0,-1.11,16.13,11.58,-26.36
0.17,-1.77,-1.26,-0.04,-11.08,-163.87
2.05,-1.74,1.14,6.12,21.85,83.08
2.57,-1.41,1.43,-12.93,19.82,148.4
2.06,-2.81,1.41,10.52,8.14,37.82
2.5,-2.09,-0.65,10.87,7.59,-13.75
2.82,-1.18,1.16,-19.6,16.49,160.43
2.46,-0.52,0.58,-19.5,21.45,144.39
2.13,-1.09,-0.07,5.41,25.35,55.58
0.17,-2.71,0.32,-4.43,-11.93,-127.2
0.81,-0.99,0.05,26.65,4.16,-7.45
1.66,-1.6,0.21,18.73,13.23,15.47
0.51,-1.9,-1.0,3.22,-11.78,-136.94
2.56,-0.37,0.81,-24.06,15.05,171.89
2.35,-2.7,0.59,12.08,6.06,13.75
0.1,-1.51,0.64,18.73,-15.83,-44.12
2.87,-1.83,-1.19,5.32,9.81,-8.59
1.97,-0.79,-0.24,5.82,26.54,53.86
0.6,-0.28,1.17,18.55,18.76,85.37
0.02,-3.1,-1.34,-2.87,9.16,-253.25
0.99,-0.5,0.03,22.99,18.04,29.79
2.32,-1.72,-0.97,10.77,9.35,-21.2
1.06,-1.42,-0.0,23.61,1.68,-20.63
0.9,-2.37,0.99,16.09,-6.73,-27.5
1.38,-2.96,-1.0,-6.66,-5.51,-147.82
2.23,-0.82,0.22,-5.12,27.76,93.39
2.94,-1.34,-0.03,-10.08,22.0,89.95
0.24,-2.73,0.84,0.97,-13.66,-94.54
0.87,-0.31,0.3,21.45,20.53,49.27
1.04,-0.87,-0.99,21.74,3.0,-46.98
1.31,-2.71,-0.43,1.72,-9.86,-104.85
2.17,-0.36,1.29,-18.0,18.39,177.62
2.92,-0.53,-0.59,-19.33,18.76,103.13
0.17,-2.25,0.23,2.23,-16.65,-106.0
0.42,-2.12,-1.44,-2.16,-5.85,-179.91
0.68,-2.76,1.04,7.96,-11.07,-59.59
0.1,-0.95,-0.83,15.46,-16.45,-96.26
1.81,-1.39,-1.15,14.21,7.12,-41.83
1.0,-0.55,-1.45,19.81,4.35,-57.3
1.91,-0.06,0.0,-8.84,28.66,106.0
1.21,-2.38,-0.65,4.97,-9.54,-104.28
1.1,-0.73,-0.75,23.15,8.82,-21.77
0.09,-0.99,1.29,25.42,-3.13,22.35
0.52,-0.12,0.95,20.08,18.62,77.35
1.47,-2.11,0.49,18.91,2.48,-8.59
1.41,-2.44,1.1,16.72,2.0,4.01
2.86,-1.0,-0.06,-14.73,22.1,103.13
1.13,-0.51,1.56,6.68,23.06,124.9
1.69,-0.39,-0.43,7.93,27.21,49.85
0.39,-3.14,-1.2,-6.9,7.22,-226.32
0.88,-1.11,-1.2,17.51,-4.47,-81.93
1.37,-2.61,-1.17,-2.2,-6.34,-138.08
0.65,-2.02,0.73,17.98,-9.72,-36.67
2.59,-0.92,-0.19,-8.6,25.15,84.8
2.51,-1.44,0.87,-6.88,24.0,111.15
1.32,-2.05,0.71,19.93,2.82,-1.15
2.76,-0.03,-0.58,-23.92,16.09,123.19
0.16,-1.31,-0.09,17.21,-16.99,-71.05
1.6,-1.59,-1.3,12.48,0.49,-73.91
2.69,-2.89,-0.51,8.39,-4.14,-40.68
1.04,-1.55,0.87,23.15,7.27,20.63
1.52,-0.3,-0.46,11.19,26.27,43.54
2.19,-0.66,0.93,-13.16,24.44,140.95
2.74,-0.74,0.08,-18.24,21.73,119.18
2.04,-1.94,-0.66,13.9,4.61,-32.09
3.03,-2.47,-0.24,8.03,9.57,18.33
0.74,-0.58,0.23,26.51,12.14,22.35
2.79,-0.81,0.13,-18.5,21.2,120.89
2.75,-3.1,1.43,4.86,9.21,61.88
1.86,-1.96,-0.59,14.81,2.22,-39.53
0.65,-0.36,-0.87,25.91,3.43,-33.23
1.34,-2.8,-0.17,2.8,-10.19,-93.39
2.75,-2.59,-0.48,10.12,2.26,-18.33
2.66,-2.67,-1.35,3.23,-5.25,-77.92
0.62,-2.67,-0.44,-4.42,-9.13,-142.67
3.04,-2.51,0.98,-0.71,16.05,86.52
1.71,-1.99,-1.04,10.7,-2.55,-75.63
1.31,-1.68,-0.06,20.99,1.88,-24.64
1.97,-3.08,-0.69,-1.71,-9.48,-103.13
2.84,-2.7,-0.02,10.28,5.56,6.88
0.42,-0.63,0.11,28.86,0.99,-5.73
1.01,-1.06,-0.24,24.89,5.11,-16.62
2.64,-2.09,-0.47,9.73,10.83,4.58
0.12,-1.38,1.37,22.93,-7.23,6.3
2.26,-0.83,0.16,-5.15,27.62,91.1
1.61,-2.5,-0.8,4.71,-7.71,-96.83
0.05,-1.71,0.3,11.19,-19.24,-77.92
2.41,-3.03,0.87,10.39,3.34,14.32
0.26,-2.52,-0.98,-6.65,-4.16,-185.64
0.35,-0.16,1.39,19.12,15.32,90.53
2.29,-0.81,-1.45,4.31,17.78,1.72
1.36,-2.83,0.45,8.33,-8.69,-58.44
1.91,-2.61,-0.21,10.46,-4.91,-52.14
2.36,-1.84,0.4,7.64,19.97,52.71
0.12,-2.03,1.02,12.89,-16.0,-50.99
2.71,-2.93,-0.58,7.64,-5.17,-45.84
1.21,-1.7,-0.3,19.39,-2.45,-45.26
1.71,-2.27,-0.04,15.34,-1.06,-34.38
2.56,-0.29,0.35,-23.46,18.13,150.11
0.75,-3.11,0.63,-1.37,-10.1,-99.12
2.8,-2.83,1.49,1.68,12.99,83.65
0.43,-1.85,-1.29,1.51,-9.9,-155.27
0.39,-2.34,-0.24,-0.26,-13.63,-125.48
0.16,-0.05,-0.52,28.98,-1.3,-23.49
0.29,-1.33,-0.7,12.96,-15.62,-99.69
1.87,-1.47,-0.48,16.23,12.65,-4.58
1.15,-0.21,-0.62,19.48,20.35,18.33
0.22,-1.16,0.22,23.17,-12.49,-41.25
2.92,-2.01,0.7,-4.01,20.09,92.25
1.69,-0.45,-0.78,11.02,23.83,26.36
3.04,-1.04,-0.72,-11.24,19.69,73.34
0.14,-1.05,-1.01,12.62,-15.9,-110.01
0.13,-2.37,0.88,5.8,-16.33,-77.92
0.55,-2.84,1.36,7.92,-10.31,-53.29
0.4,-2.39,-0.62,-3.48,-10.31,-149.54
1.49,-1.57,1.53,11.98,19.1,83.08
1.39,-1.8,0.27,20.87,4.46,-8.02
2.54,-1.17,-0.61,1.0,22.35,43.54
2.84,-0.65,-0.34,-18.11,20.73,106.0
2.91,-3.11,-0.29,8.89,-4.4,-28.07
1.82,-0.65,0.27,2.74,28.81,82.51
1.67,-2.79,-1.49,-5.25,-4.12,-149.54
0.85,-2.49,0.28,8.0,-12.24,-77.92
1.79,-0.96,-0.5,14.03,20.38,18.91
2.6,-0.55,0.01,-17.88,22.86,118.03
0.28,-0.81,-0.04,26.66,-7.69,-32.66
0.09,-0.0,1.56,19.13,11.77,94.54
1.48,-2.88,0.35,7.58,-8.57,-60.16
1.04,-0.81,0.33,23.27,16.22,32.09
1.21,-2.6,-0.12,5.94,-10.46,-86.52
2.35,-2.99,-1.01,0.2,-8.83,-94.54
0.79,-2.85,0.57,3.15,-11.69,-85.37
2.2,-0.66,0.33,-8.52,27.64,107.14
1.46,-2.87,1.48,12.68,0.77,4.01
2.09,-0.83,1.16,-9.41,24.81,138.66
0.95,-1.18,1.11,21.93,13.56,50.42
1.83,-1.04,-1.52,11.93,10.1,-41.83
1.87,-2.63,0.51,13.99,0.19,-14.32
0.95,-2.01,-1.07,5.4,-9.07,-122.04
2.46,-1.64,-1.19,8.38,10.0,-21.2
0.57,-1.91,1.01,20.17,-7.58,-18.91
2.5,-0.47,1.18,-22.42,14.27,183.92
0.13,-0.18,0.58,28.53,5.85,30.37
1.69,-2.19,0.08,16.72,1.06,-24.06
0.08,-1.49,0.72,19.28,-15.44,-39.53
2.96,-1.13,0.36,-18.2,19.62,125.48
0.18,-1.54,-0.52,8.89,-17.51,-107.72
1.69,-2.8,1.21,13.21,1.97,5.73
2.84,-2.09,0.66,-0.63,19.66,80.79
1.65,-0.69,-0.96,14.94,18.16,-0.0
1.03,-1.97,0.77,20.9,-1.19,-9.74
1.57,-1.13,0.13,17.47,19.66,32.66
0.12,-2.96,-1.48,-3.44,7.47,-247.52
0.9,-0.87,-0.17,26.11,6.74,-8.02
1.38,-1.76,-0.46,17.86,-1.34,-48.13
1.18,-1.18,-0.81,20.7,2.0,-46.41
1.28,-1.54,-0.51,19.71,0.05,-44.12
2.96,-2.62,1.24,-0.5,15.14,90.53
3.07,-2.91,-0.11,9.89,2.81,2.86
1.11,-2.05,-1.54,2.45,-5.26,-142.09
2.96,-2.1,1.57,-10.88,15.91,139.23
2.23,-1.14,0.34,-0.1,26.67,81.93
2.64,-0.07,-1.37,-13.56,19.54,68.75
0.96,-1.43,-1.14,14.26,-6.33,-92.25
0.71,-0.03,-1.19,24.09,7.92,-29.22
1.26,-2.84,0.79,10.0,-7.58,-45.26
0.04,-2.88,-0.08,-9.31,-4.77,-167.3
2.79,-0.18,-1.01,-18.3,18.51,91.67
0.21,-1.58,0.75,19.91,-13.52,-35.52
1.36,-1.88,1.39,17.22,12.45,49.85
1.6,-1.5,-1.19,14.28,2.13,-62.45
0.1,-0.46,0.26,29.26,-3.52,-5.73
2.09,-0.78,-1.17,7.52,19.74,8.02
3.08,-2.99,0.92,5.3,9.98,57.87
2.57,-0.09,-0.62,-19.15,21.14,106.57
3.1,-0.7,-0.08,-24.18,14.49,132.93
1.7,-0.95,0.69,7.33,26.65,82.51
2.27,-1.07,0.29,-2.01,26.94,85.37
1.66,-0.48,-0.68,11.69,24.0,28.65
2.18,-1.74,1.16,3.03,22.46,91.67
2.0,-1.36,0.0,11.88,21.04,36.67
0.07,-2.3,0.35,0.81,-16.73,-107.72
1.74,-2.49,0.41,15.06,-0.29,-19.48
1.1,-2.05,1.32,19.68,4.39,21.2
0.61,-1.34,-0.39,20.01,-9.94,-64.17
0.4,-0.24,-1.28,23.44,-3.51,-64.17
1.88,-3.02,-1.31,-6.57,-5.94,-140.37
1.2,-2.41,-0.88,2.19,-8.72,-119.75
0.4,-1.33,-0.49,16.69,-14.01,-81.36
2.56,-0.08,0.29,-25.56,15.27,158.71
0.86,-0.15,0.58,16.88,23.71,73.91
1.05,-2.6,-1.41,-4.65,-3.13,-169.6
1.62,-0.63,-1.14,14.88,16.85,-8.59
1.26,-1.26,-0.73,20.51,2.85,-41.83
2.4,-2.69,1.53,5.46,13.35,71.05
1.02,-0.89,-0.38,24.84,7.34,-14.32
0.25,-2.84,-1.29,-6.22,3.96,-222.31
0.92,-0.67,-1.46,19.28,1.07,-69.33
1.63,-0.69,-0.54,14.52,21.95,22.92
1.18,-2.07,-0.48,12.1,-8.32,-78.5
2.82,-1.07,0.61,-18.37,20.04,135.22
1.56,-2.12,0.15,17.75,0.7,-23.49
1.83,-1.05,0.91,3.36,26.63,96.83
0.01,-2.64,-1.27,-5.98,2.08,-223.45
2.09,-2.2,0.76,12.94,13.64,37.24
1.9,-2.45,-0.99,5.6,-5.76,-88.24
2.15,-2.92,0.39,10.99,-2.3,-21.77
1.56,-0.83,-1.52,14.6,9.56,-45.26
1.66,-1.92,-0.77,13.92,-1.18,-59.01
2.79,-0.2,-0.95,-18.6,18.66,93.97
2.05,-1.66,-1.3,10.78,4.78,-52.14
1.58,-3.03,-1.53,-8.76,-1.54,-170.74
0.42,-0.02,1.13,18.75,17.96,87.66
0.04,-3.02,-0.82,-7.79,4.91,-217.72
1.76,-3.13,-1.56,-9.66,-2.08,-167.88
1.17,-2.63,0.24,8.44,-10.12,-69.9
1.46,-2.0,-0.98,10.19,-5.19,-87.09
1.97,-3.08,-0.88,-3.51,-8.88,-114.02
0.78,-0.59,-1.41,20.37,-0.47,-69.9
0.28,-2.71,-0.65,-7.94,-4.38,-176.47
2.61,-0.17,-1.42,-11.02,20.04,58.44
1.27,-1.26,-1.19,16.77,0.4,-67.61
1.33,-0.86,0.11,19.67,19.72,33.23
2.72,-2.82,-1.01,5.27,-5.86,-63.6
0.81,-0.85,1.13,21.51,15.71,62.45
1.13,-2.47,-0.93,0.12,-8.34,-130.06
1.07,-1.87,-0.22,17.0,-6.92,-58.44
2.96,-2.81,0.09,9.77,5.68,13.75
1.38,-3.01,-1.14,-8.01,-3.79,-158.71
1.06,-0.76,-0.68,23.73,7.97,-21.77
0.42,-1.14,1.41,24.36,3.85,39.53
2.84,-2.65,0.84,5.42,13.43,59.01
1.18,-2.86,-1.47,-7.28,-0.61,-180.48
3.07,-1.33,0.12,-14.51,20.16,106.57
2.07,-1.86,0.72,10.97,18.88,53.29
2.02,-2.09,-0.04,15.57,7.21,-6.3
2.48,-3.04,-1.02,0.49,-9.17,-90.53
2.73,-0.28,1.06,-26.2,6.78,201.11
1.73,-2.96,0.64,10.07,-5.11,-33.8
1.8,-0.29,0.92,-9.24,26.25,139.23
0.33,-2.67,0.38,-1.29,-13.2,-112.3
2.93,-2.96,0.23,10.02,3.79,11.46
1.95,-1.24,1.52,-2.24,23.71,127.77
0.01,-0.99,0.14,22.24,-15.65,-48.13
0.05,-2.88,0.66,-5.17,-10.82,-124.33
0.84,-0.22,1.48,9.76,21.89,120.32
0.67,-1.81,0.16,17.58,-11.18,-56.15
1.7,-1.42,0.09,17.65,16.3,21.2
2.28,-0.1,-0.79,-10.44,25.63,79.64
1.22,-2.16,-0.17,13.78,-7.64,-63.6
1.78,-2.12,0.73,16.6,10.25,22.35
2.29,-0.07,-0.21,-16.89,24.54,115.16
3.0,-2.77,1.06,2.61,13.3,73.91
2.23,-3.0,1.03,10.72,3.51,14.9
0.17,-2.23,-0.86,-4.6,-9.33,-167.3
2.16,-1.63,0.38,9.21,21.26,52.14
1.25,-3.01,-0.39,-4.2,-8.7,-123.19
2.06,-1.1,-0.54,10.17,21.1,24.06
0.36,-2.08,-0.69,0.43,-13.05,-138.08
2.59,-2.85,-1.27,1.55,-7.32,-87.66
2.5,-1.33,1.18,-11.14,22.31,134.65
0.04,-0.17,1.42,22.68,8.71,73.91
2.21,-1.48,0.45,5.3,23.94,67.61
3.08,-0.27,-0.83,-23.42,13.05,113.45
1.54,-0.03,-1.43,10.88,20.78,4.58
3.05,-0.25,-1.28,-18.87,14.25,87.09
0.74,-0.71,0.96,22.87,15.4,56.72
2.87,-1.71,-0.41,1.68,18.67,42.97
1.25,-2.21,-1.2,3.33,-7.02,-123.76
0.8,-2.51,-0.31,1.24,-11.74,-115.74
0.78,-0.44,-0.95,24.73,4.64,-34.95
2.37,-2.33,-0.26,12.58,5.19,-12.61
1.94,-2.65,1.21,12.75,7.6,28.65
2.99,-1.8,-0.63,2.3,16.11,32.09
1.02,-2.05,0.35,18.16,-6.34,-38.96
0.41,-0.07,-1.43,23.22,-1.55,-62.45
2.01,-1.26,0.07,9.89,23.18,46.98
1.09,-0.01,0.64,7.85,27.57,98.55
0.78,-0.45,0.16,25.39,14.98,28.07
2.49,-2.43,-0.21,11.92,5.17,-8.59
0.35,-0.09,-1.45,22.77,-3.28,-68.18
1.49,-2.84,1.11,12.71,-2.17,-13.75
3.07,-0.51,-0.86,-19.62,16.13,97.4
2.13,-1.26,1.14,-3.11,25.17,115.16
1.39,-3.11,-0.08,-1.96,-9.79,-103.13
2.64,-0.25,0.26,-24.89,16.36,151.83
2.98,-2.26,0.05,4.83,15.16,44.12
2.43,-1.33,-0.92,6.8,17.23,10.31
3.1,-0.09,0.58,-28.92,-2.61,205.69
3.02,-0.13,-0.47,-27.12,10.31,138.66
2.99,-2.23,-0.46,6.92,11.35,17.19
1.85,-1.95,0.93,13.94,15.99,47.56
1.68,-2.56,0.73,15.17,0.74,-8.59
2.61,-2.03,1.08,-1.15,20.51,95.11
0.43,-1.54,0.31,20.5,-11.96,-45.84
0.33,-2.05,0.2,8.48,-16.64,-87.09
1.19,-0.27,1.27,3.97,25.38,125.48
3.04,-1.67,-1.33,2.04,11.21,2.29
0.81,-1.19,1.16,23.29,10.57,44.69
2.74,-1.36,0.61,-11.38,22.86,114.02
1.71,-1.84,-0.67,15.5,1.43,-45.84
1.05,-0.3,-1.55,19.26,8.32,-45.84
1.69,-0.67,1.04,-0.65,27.28,118.03
1.78,-0.89,-0.45,13.26,21.81,25.21
1.85,-0.32,1.22,-11.59,23.42,157.56
0.02,-0.76,1.08,26.81,-3.21,19.48
1.65,-0.69,-0.85,14.88,19.26,6.3
0.66,-2.1,-0.28,7.72,-13.67,-98.55
0.13,-1.71,0.82,17.07,-15.59,-43.54
0.07,-1.32,-0.27,13.64,-18.78,-87.09
0.23,-2.49,-0.61,-6.26,-8.12,-164.44
1.85,-1.08,-1.37,12.68,10.93,-34.38
0.07,-0.5,-0.45,25.44,-11.18,-50.42
1.88,-1.42,-0.02,14.97,18.22,25.21
1.3,-2.98,-0.92,-6.98,-5.46,-148.97
0.11,-2.54,-0.81,-7.59,-4.45,-185.64
2.56,-0.84,-1.28,-0.79,19.64,25.21
3.13,-2.49,0.13,5.2,13.05,44.12
1.29,-2.8,-0.28,1.2,-10.13,-102.56
1.56,-0.03,0.18,-0.87,29.89,97.98
0.37,-2.56,1.38,10.41,-11.77,-46.41
1.1,-0.17,-0.21,18.03,23.52,41.25
1.04,-2.37,1.18,17.33,-2.58,-8.59
1.77,-0.21,-1.48,8.1,20.6,4.58
2.95,-3.06,-1.32,1.53,-9.09,-81.93
2.34,-1.52,-0.39,8.96,18.66,24.64
1.1,-2.17,1.17,19.29,1.14,5.73
3.08,-0.47,-0.99,-19.09,15.67,92.82
1.18,-0.12,-0.36,16.35,24.41,40.11
2.38,-1.18,-1.41,6.17,14.14,-12.03
1.78,-2.0,0.47,17.37,10.07,14.32
1.86,-2.75,1.09,13.24,3.8,11.46
2.24,-3.1,-0.58,1.62,-9.65,-82.51
0.7,-1.46,1.0,24.61,1.93,13.75
3.06,-1.95,-0.37,1.86,16.51,42.4
1.62,-2.58,1.29,14.7,5.04,18.91
2.51,-1.43,0.5,-3.45,24.72,90.53
1.29,-2.0,1.41,18.0,9.53,40.11
1.09,-0.14,0.55,11.15,26.98,85.94
1.73,-1.71,0.37,17.66,13.88,22.35
2.02,-1.36,-0.74,13.53,14.34,-4.58
0.82,-0.06,0.22,19.64,22.51,56.15
2.82,-0.77,0.75,-23.52,15.38,160.43
1.03,-1.2,-0.66,21.75,-0.5,-47.56
2.13,-2.04,1.21,7.33,19.01,74.48
2.01,-2.66,1.19,12.29,8.14,30.94
0.39,-1.26,1.41,24.27,1.3,30.94
2.96,-1.71,-1.23,3.32,11.5,1.15
1.47,-2.44,-1.39,-0.44,-5.34,-135.22
0.91,-1.96,0.24,18.01,-8.02,-46.41
1.32,-0.24,-0.81,16.83,21.17,15.47
2.7,-2.55,0.3,9.85,10.12,25.78
2.83,-2.4,-1.54,4.02,-1.72,-63.6
1.19,-2.4,0.81,16.46,-3.97,-22.92
0.07,-0.26,1.05,26.32,6.39,49.27
2.5,-0.81,-0.21,-8.29,25.87,84.8
0.43,-0.01,-0.56,28.12,6.85,-8.02
0.01,-2.44,-1.49,-4.69,0.59,-224.6
1.65,-0.68,0.89,2.01,27.8,106.57
3.12,-3.01,-1.03,6.0,-6.64,-52.71
0.18,-0.74,0.57,28.31,-3.42,0.57
2.36,-1.26,1.1,-8.45,24.04,126.05
1.38,-0.94,-0.09,20.34,17.51,20.05
3.13,-2.85,0.2,8.48,7.5,27.5
2.9,-1.84,-1.5,4.23,6.86,-25.21
2.36,-2.81,-0.27,9.42,-3.9,-41.25
1.93,-1.15,-0.28,12.37,21.19,28.65
1.83,-0.37,-0.58,4.91,27.31,50.42
3.08,-2.92,-0.14,9.89,2.41,1.15
1.54,-0.91,0.73,10.48,25.67,77.92
0.78,-3.12,-0.44,-9.2,-3.69,-159.28
1.28,-0.88,-0.68,21.69,10.71,-16.04
1.24,-2.33,0.64,16.88,-3.76,-25.78
1.34,-0.09,1.48,-3.72,23.23,156.42
2.92,-0.32,-1.23,-16.33,17.15,78.5
1.87,-2.23,0.97,14.61,11.76,34.95
2.73,-0.37,1.5,-23.79,4.46,221.16
2.4,-0.23,-0.26,-16.34,24.44,109.43
